position;music;artist
1;"Yesterday";The Beatles
2;"Bridge Over Troubled Water";Simon & Garfunkel
3;"Rolling In the Deep";Adele
4;"Hey Jude";The Beatles
5;"All of Me";John Legend
6;"Bad Romance";Lady Gaga
8;"Bohemian Rhapsody";Queen
9;"Let It Be";The Beatles
10;"Ain't No Sunshine";Bill Withers
11;"Can't Help Falling In Love";Elvis Presley
12;"I Want to Hold Your Hand";The Beatles
13;"The Sound of Silence";Simon & Garfunkel
14;"Happy";Pharrell Williams
15;"Eleanor Rigby";The Beatles
16;"Something";The Beatles
17;"Help!";The Beatles
18;"Stand By Me";Ben E. King
19;"Wichita Lineman";Glen Campbell
20;"Can't Buy Me Love";The Beatles
21;"These Boots Are Made For Walkin' ";Nancy Sinatra
22;"Come Together";The Beatles
23;"Just The Way You Are";Billy Joel
24;"Time After Time";Cyndi Lauper
25;"Eye of the Tiger";Survivor
26;"The Letter";The Box Tops
27;"Lose Yourself";Eminem
28;"I Can See Clearly Now";Johnny Nash
29;"When A Man Loves A Woman";Percy Sledge
30;"Downtown";Petula Clark
31;"Imagine";John Lennon
32;"Mrs. Robinson";Simon & Garfunkel
33;"We Can Work It Out";The Beatles
34;"Oh, Pretty Woman";Roy Orbison
35;"What A Wonderful World";Louis Armstrong
36;"I'm A Believer";The Monkees
37;"Will You Love Me Tomorrow";The Shirelles
38;"Pumped Up Kicks";Foster the People
39;"The Rose";Bette Midler
40;"Billie Jean";Michael Jackson
41;"Penny Lane";The Beatles
42;"King of the Road";Roger Miller
43;"Honky Tonk Women";The Rolling Stones
44;"Lean On Me";Bill Withers
45;"Light My Fire";The Doors
46;"I Feel Fine";The Beatles
47;"Yellow Submarine";The Beatles
48;"Please Mr. Postman";The Marvelettes
49;"A Hard Day's Night";The Beatles
50;"Born to Be Wild";Steppenwolf
51;"Wooly Bully";Sam the Sham & The Pharaohs
52;"How to Save A Life";The Fray
53;"Proud Mary";Creedence Clearwater Revival
54;"To Sir With Love";Lulu
55;"Call Me";Blondie
56;"Hello";Lionel Richie
57;"Annie's Song";John Denver
58;"50 Ways to Leave Your Lover";Paul Simon
59;"Stop! In the Name of Love";The Supremes
60;"Gold Digger";Kanye West featuring Jamie Foxx
61;"Whole Lotta Love";Led Zeppelin
62;"I Get Around";The Beach Boys
63;"96 Tears";Question Mark and the Mysterians
64;"Nowhere Man";The Beatles
65;"Heart of Glass";Blondie
66;"How You Remind Me";Nickelback
67;"Time In A Bottle";Jim Croce
68;"And I Love Her";The Beatles
69;"Heart of Gold";Neil Young
70;"Let's Dance";David Bowie
71;"Georgy Girl";The Seekers
72;"Beat It";Michael Jackson
73;"Chain of Fools";Aretha Franklin
74;"Theme From Shaft";Isaac Hayes
75;"Angie";The Rolling Stones
76;"Paperback Writer";The Beatles
77;"Green Onions";Booker T. & The MG's
78;"Baby Love";The Supremes
79;"Got to Get You Into My Life";The Beatles
80;"Get Back";The Beatles
81;"Thriller";Michael Jackson
82;"Like A Virgin";Madonna
83;"Another One Bites the Dust";Queen
84;"Cherish";The Association
85;"Fame";David Bowie
86;"Crazy";Gnarls Barkley
87;"I Got You Babe";Sonny & Cher
88;"Dreams";Fleetwood Mac
89;"My Girl";The Temptations
90;"Brand New Key";Melanie
91;"Dizzy";Tommy Roe
92;"Sweet Soul Music";Arthur Conley
93;"I Honestly Love You";Olivia Newton-John
94;"Band Of Gold";Freda Payne
95;"Kiss Me";Sixpence None the Richer
96;"Africa";Toto
97;"Jump";Van Halen
98;"Everyday People";Sly & The Family Stone
99;"Spirit In the Sky";Norman Greenbaum
100;"Kung Fu Fighting";Carl Douglas
